Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2022-07-17,2022,Ekstraklasa,Pogon Szczecin,Widzew Łódź,2 - 1,1 - 1,1,3,Evet
2022-07-18,2022,Ekstraklasa,Gornik Zabrze,Cracovia Krakow,0 - 2,0 - 2,2,2,Yok
2022-07-22,2022,Ekstraklasa,Warta Poznań,Wisla Plock,0 - 4,0 - 3,2,4,Yok
2022-07-22,2022,Ekstraklasa,Jagiellonia,Widzew Łódź,0 - 2,0 - 0,2,2,Yok
2022-07-23,2022,Ekstraklasa,Cracovia Krakow,Korona Kielce,2 - 0,1 - 0,1,2,Yok
2022-07-23,2022,Ekstraklasa,Legia Warszawa,Zaglebie Lubin,2 - 0,1 - 0,1,2,Yok
2022-07-24,2022,Ekstraklasa,Slask Wroclaw,Pogon Szczecin,2 - 1,1 - 1,1,3,Evet
2022-07-25,2022,Ekstraklasa,Stal Mielec,Radomiak Radom,1 - 1,0 - 0,X,2,Evet
2022-07-29,2022,Ekstraklasa,Piast Gliwice,Zaglebie Lubin,0 - 1,0 - 0,2,1,Yok
2022-07-29,2022,Ekstraklasa,Cracovia Krakow,Legia Warszawa,3 - 0,1 - 0,1,3,Yok
2022-07-30,2022,Ekstraklasa,Radomiak Radom,Gornik Zabrze,0 - 3,0 - 2,2,3,Yok
2022-07-30,2022,Ekstraklasa,Miedz Legnica,Warta Poznań,1 - 2,1 - 1,2,3,Evet
2022-07-31,2022,Ekstraklasa,Pogon Szczecin,Jagiellonia,1 - 0,1 - 0,1,1,Yok
2022-07-31,2022,Ekstraklasa,Lech Poznan,Wisla Plock,1 - 3,0 - 1,2,4,Evet
2022-07-31,2022,Ekstraklasa,Raków Częstochowa,Stal Mielec,3 - 2,1 - 1,1,5,Evet
2022-07-31,2022,Ekstraklasa,Widzew Łódź,Lechia Gdansk,2 - 3,1 - 2,2,5,Evet
2022-08-01,2022,Ekstraklasa,Korona Kielce,Slask Wroclaw,3 - 1,2 - 0,1,4,Evet
2022-08-05,2022,Ekstraklasa,Stal Mielec,Cracovia Krakow,2 - 0,1 - 0,1,2,Yok
2022-08-05,2022,Ekstraklasa,Legia Warszawa,Piast Gliwice,2 - 0,0 - 0,1,2,Yok
2022-08-06,2022,Ekstraklasa,Lechia Gdansk,Korona Kielce,0 - 1,0 - 1,2,1,Yok
2022-08-06,2022,Ekstraklasa,Jagiellonia,Radomiak Radom,1 - 2,1 - 0,2,3,Evet
2022-08-06,2022,Ekstraklasa,Slask Wroclaw,Widzew Łódź,0 - 0,0 - 0,X,0,Yok
2022-08-07,2022,Ekstraklasa,Warta Poznań,Pogon Szczecin,1 - 2,0 - 2,2,3,Evet
2022-08-07,2022,Ekstraklasa,Zaglebie Lubin,Lech Poznan,1 - 1,0 - 0,X,2,Evet
2022-08-07,2022,Ekstraklasa,Gornik Zabrze,Raków Częstochowa,1 - 0,1 - 0,1,1,Yok
2022-08-08,2022,Ekstraklasa,Wisla Plock,Miedz Legnica,4 - 1,2 - 1,1,5,Evet
2022-08-12,2022,Ekstraklasa,Miedz Legnica,Zaglebie Lubin,0 - 1,0 - 0,2,1,Yok
2022-08-12,2022,Ekstraklasa,Widzew Łódź,Legia Warszawa,1 - 2,0 - 2,2,3,Evet
2022-08-13,2022,Ekstraklasa,Cracovia Krakow,Piast Gliwice,0 - 1,0 - 0,2,1,Yok
2022-08-13,2022,Ekstraklasa,Gornik Zabrze,Stal Mielec,1 - 3,1 - 2,2,4,Evet
2022-08-13,2022,Ekstraklasa,Pogon Szczecin,Wisla Plock,2 - 2,1 - 0,X,4,Evet
2022-08-14,2022,Ekstraklasa,Radomiak Radom,Lechia Gdansk,4 - 1,2 - 1,1,5,Evet
2022-08-14,2022,Ekstraklasa,Raków Częstochowa,Jagiellonia,2 - 2,2 - 0,X,4,Evet
